Elvation Azimuth       Counts
    8.50  -89.00   0.00253146
    9.50  -89.00   0.00253089
   10.50  -89.00   0.00253029
   11.50  -89.00   0.00252964
   12.50  -89.00   0.00252897
   13.50  -89.00   0.00252826
   14.50  -89.00   0.00252751
   15.50  -89.00   0.00252673
   16.50  -89.00   0.00252592
   17.50  -89.00   0.00252507
   18.50  -89.00   0.00252419
   19.50  -89.00   0.00252328
   20.50  -89.00   0.00252234
   21.50  -89.00   0.00252137
   22.50  -89.00   0.00252037
   23.50  -89.00   0.00251934
   24.50  -89.00   0.00251828
   25.50  -89.00   0.00251720
   26.50  -89.00   0.00251608
   27.50  -89.00   0.00251494
   28.50  -89.00   0.00251377
   29.50  -89.00   0.00251258
   30.50  -89.00   0.00251136
   31.50  -89.00   0.00251011
   32.50  -89.00   0.00250884
   33.50  -89.00   0.00250754
   34.50  -89.00   0.00250623
   35.50  -89.00   0.00250488
   36.50  -89.00   0.00250352
   37.50  -89.00   0.00250214
   38.50  -89.00   0.00250073
   39.50  -89.00   0.00249930
   40.50  -89.00   0.00249785
   41.50  -89.00   0.00249638
   42.50  -89.00   0.00249489
   43.50  -89.00   0.00249339
   44.50  -89.00   0.00249186
   45.50  -89.00   0.00249032
   46.50  -89.00   0.00248876
   47.50  -89.00   0.00248718
   48.50  -89.00   0.00248559
   49.50  -89.00   0.00248398
   50.50  -89.00   0.00248236
   51.50  -89.00   0.00248072
   52.50  -89.00   0.00247907
   53.50  -89.00   0.00247740
   54.50  -89.00   0.00247573
   55.50  -89.00   0.00247404
   56.50  -89.00   0.00247234
   57.50  -89.00   0.00247062
   58.50  -89.00   0.00246891
   59.50  -89.00   0.00246718
   60.50  -89.00   0.00246544
   61.50  -89.00   0.00246369
   62.50  -89.00   0.00246193
   63.50  -89.00   0.00246017
   64.50  -89.00   0.00245841
   65.50  -89.00   0.00245663
   66.50  -89.00   0.00245486
   67.50  -89.00   0.00245307
   68.50  -89.00   0.00245129
   69.50  -89.00   0.00244950
   70.50  -89.00   0.00244771
   71.50  -89.00   0.00244592
   72.50  -89.00   0.00244413
   73.50  -89.00   0.00244233
   74.50  -89.00   0.00244054
   75.50  -89.00   0.00243875
   76.50  -89.00   0.00243696
   77.50  -89.00   0.00243518
   78.50  -89.00   0.00243340
   79.50  -89.00   0.00243162
   80.50  -89.00   0.00242984
   81.50  -89.00   0.00242807
   82.50  -89.00   0.00242631
   83.50  -89.00   0.00242455
   84.50  -89.00   0.00242280
   85.50  -89.00   0.00242106
   86.50  -89.00   0.00241932
   87.50  -89.00   0.00241760
   88.50  -89.00   0.00241588
   89.50  -89.00   0.00241417
   90.50  -89.00   0.00241248
   91.50  -89.00   0.00241079
   92.50  -89.00   0.00240912
   93.50  -89.00   0.00240746
   94.50  -89.00   0.00240581
   95.50  -89.00   0.00240417
   96.50  -89.00   0.00240254
   97.50  -89.00   0.00240093
   98.50  -89.00   0.00239934
   99.50  -89.00   0.00239775
  100.50  -89.00   0.00239619
  101.50  -89.00   0.00239463
  102.50  -89.00   0.00239310
  103.50  -89.00   0.00239157
  104.50  -89.00   0.00239007
  105.50  -89.00   0.00238858
  106.50  -89.00   0.00238710
  107.50  -89.00   0.00238564
  108.50  -89.00   0.00238420
  109.50  -89.00   0.00238278
  110.50  -89.00   0.00238137
  111.50  -89.00   0.00237997
  112.50  -89.00   0.00237860
  113.50  -89.00   0.00237724
  114.50  -89.00   0.00237590
  115.50  -89.00   0.00237457
  116.50  -89.00   0.00237327
  117.50  -89.00   0.00237198
  118.50  -89.00   0.00237070
  119.50  -89.00   0.00236944
  120.50  -89.00   0.00236820
  121.50  -89.00   0.00236698
  122.50  -89.00   0.00236577
  123.50  -89.00   0.00236458
  124.50  -89.00   0.00236340
  125.50  -89.00   0.00236224
  126.50  -89.00   0.00236110
  127.50  -89.00   0.00235997
  128.50  -89.00   0.00235885
  129.50  -89.00   0.00235776
  130.50  -89.00   0.00235667
  131.50  -89.00   0.00235560
  132.50  -89.00   0.00235455
  133.50  -89.00   0.00235351
  134.50  -89.00   0.00235248
  135.50  -89.00   0.00235147
  136.50  -89.00   0.00235047
  137.50  -89.00   0.00234948
  138.50  -89.00   0.00234851
  139.50  -89.00   0.00234755
  140.50  -89.00   0.00234660
  141.50  -89.00   0.00234567
  142.50  -89.00   0.00234474
  143.50  -89.00   0.00234383
  144.50  -89.00   0.00234293
  145.50  -89.00   0.00234205
  146.50  -89.00   0.00234117
  147.50  -89.00   0.00234031
  148.50  -89.00   0.00233945
  149.50  -89.00   0.00233861
  150.50  -89.00   0.00233778
  151.50  -89.00   0.00233696
  152.50  -89.00   0.00233615
  153.50  -89.00   0.00233535
  154.50  -89.00   0.00233456
  155.50  -89.00   0.00233379
  156.50  -89.00   0.00233302
  157.50  -89.00   0.00233227
  158.50  -89.00   0.00233152
  159.50  -89.00   0.00233079
  160.50  -89.00   0.00233007
  161.50  -89.00   0.00232936
  162.50  -89.00   0.00232866
  163.50  -89.00   0.00232798
  164.50  -89.00   0.00232730
  165.50  -89.00   0.00232664
  166.50  -89.00   0.00232599
  167.50  -89.00   0.00232535
  168.50  -89.00   0.00232473
  169.50  -89.00   0.00232412
  170.50  -89.00   0.00232353
  171.50  -89.00   0.00232295
  172.50  -89.00   0.00232238
  173.50  -89.00   0.00232183
  174.50  -89.00   0.00232129
  175.50  -89.00   0.00232077
  176.50  -89.00   0.00232027
  177.50  -89.00   0.00231978
  178.50  -89.00   0.00231931
  179.50  -89.00   0.00231886
  180.50  -89.00   0.00231843
 -178.50  -88.00   0.00225360
 -177.50  -88.00   0.00225250
 -176.50  -88.00   0.00225140
 -175.50  -88.00   0.00225031
 -174.50  -88.00   0.00224922
 -173.50  -88.00   0.00224814
 -172.50  -88.00   0.00224708
 -171.50  -88.00   0.00224603
 -170.50  -88.00   0.00224501
 -169.50  -88.00   0.00224401
 -168.50  -88.00   0.00224304
 -167.50  -88.00   0.00224210
 -166.50  -88.00   0.00224120
 -165.50  -88.00   0.00224034
 -164.50  -88.00   0.00223952
 -163.50  -88.00   0.00223875
 -162.50  -88.00   0.00223803
 -161.50  -88.00   0.00223737
 -160.50  -88.00   0.00223676
 -159.50  -88.00   0.00223621
 -158.50  -88.00   0.00223573
 -157.50  -88.00   0.00223531
 -156.50  -88.00   0.00223496
 -155.50  -88.00   0.00223469
 -154.50  -88.00   0.00223449
 -153.50  -88.00   0.00223437
 -152.50  -88.00   0.00223433
 -151.50  -88.00   0.00223438
 -150.50  -88.00   0.00223451
 -149.50  -88.00   0.00223472
 -148.50  -88.00   0.00223503
 -147.50  -88.00   0.00223543
 -146.50  -88.00   0.00223592
 -145.50  -88.00   0.00223650
 -144.50  -88.00   0.00223718
 -143.50  -88.00   0.00223796
 -142.50  -88.00   0.00223884
 -141.50  -88.00   0.00223981
 -140.50  -88.00   0.00224089
 -139.50  -88.00   0.00224206
 -138.50  -88.00   0.00224334
 -137.50  -88.00   0.00224471
 -136.50  -88.00   0.00224619
 -135.50  -88.00   0.00224777
 -134.50  -88.00   0.00224946
 -133.50  -88.00   0.00225124
 -132.50  -88.00   0.00225313
 -131.50  -88.00   0.00225512
 -130.50  -88.00   0.00225721
 -129.50  -88.00   0.00225940
 -128.50  -88.00   0.00226169
 -127.50  -88.00   0.00226408
 -126.50  -88.00   0.00226657
 -125.50  -88.00   0.00226916
 -124.50  -88.00   0.00227185
 -123.50  -88.00   0.00227463
 -122.50  -88.00   0.00227751
 -121.50  -88.00   0.00228048
 -120.50  -88.00   0.00228355
 -119.50  -88.00   0.00228671
 -118.50  -88.00   0.00228996
 -117.50  -88.00   0.00229329
 -116.50  -88.00   0.00229672
 -115.50  -88.00   0.00230023
 -114.50  -88.00   0.00230383
 -113.50  -88.00   0.00230751
 -112.50  -88.00   0.00231127
 -111.50  -88.00   0.00231512
 -110.50  -88.00   0.00231904
 -109.50  -88.00   0.00232304
 -108.50  -88.00   0.00232711
 -107.50  -88.00   0.00233126
 -106.50  -88.00   0.00233547
 -105.50  -88.00   0.00233976
 -104.50  -88.00   0.00234411
 -103.50  -88.00   0.00234853
 -102.50  -88.00   0.00235302
 -101.50  -88.00   0.00235756
 -100.50  -88.00   0.00236216
  -99.50  -88.00   0.00236682
  -98.50  -88.00   0.00237154
  -97.50  -88.00   0.00237630
  -96.50  -88.00   0.00238112
  -95.50  -88.00   0.00238598
  -94.50  -88.00   0.00239090
  -93.50  -88.00   0.00239585
  -92.50  -88.00   0.00240084
  -91.50  -88.00   0.00240588
  -90.50  -88.00   0.00241095
  -89.50  -88.00   0.00241605
  -88.50  -88.00   0.00242118
  -87.50  -88.00   0.00242635
  -86.50  -88.00   0.00243154
  -85.50  -88.00   0.00243675
  -84.50  -88.00   0.00244198
  -83.50  -88.00   0.00244723
  -82.50  -88.00   0.00245250
  -81.50  -88.00   0.00245778
  -80.50  -88.00   0.00246307
  -79.50  -88.00   0.00246837
  -78.50  -88.00   0.00247367
  -77.50  -88.00   0.00247898
  -76.50  -88.00   0.00248428
  -75.50  -88.00   0.00248958
  -74.50  -88.00   0.00249488
  -73.50  -88.00   0.00250016
  -72.50  -88.00   0.00250543
  -71.50  -88.00   0.00251069
  -70.50  -88.00   0.00251593
  -69.50  -88.00   0.00252114
  -68.50  -88.00   0.00252634
  -67.50  -88.00   0.00253150
  -66.50  -88.00   0.00253664
  -65.50  -88.00   0.00254174
  -64.50  -88.00   0.00254681
  -63.50  -88.00   0.00255184
  -62.50  -88.00   0.00255682
  -61.50  -88.00   0.00256177
  -60.50  -88.00   0.00256666
  -59.50  -88.00   0.00257150
  -58.50  -88.00   0.00257629
  -57.50  -88.00   0.00258102
  -56.50  -88.00   0.00258569
  -55.50  -88.00   0.00259030
  -54.50  -88.00   0.00259484
  -53.50  -88.00   0.00259931
  -52.50  -88.00   0.00260372
  -51.50  -88.00   0.00260804
  -50.50  -88.00   0.00261229
  -49.50  -88.00   0.00261646
  -48.50  -88.00   0.00262054
  -47.50  -88.00   0.00262455
  -46.50  -88.00   0.00262846
  -45.50  -88.00   0.00263228
  -44.50  -88.00   0.00263600
  -43.50  -88.00   0.00263963
  -42.50  -88.00   0.00264316
  -41.50  -88.00   0.00264659
  -40.50  -88.00   0.00264992
  -39.50  -88.00   0.00265314
  -38.50  -88.00   0.00265625
  -37.50  -88.00   0.00265925
  -36.50  -88.00   0.00266214
  -35.50  -88.00   0.00266492
  -34.50  -88.00   0.00266758
  -33.50  -88.00   0.00267013
  -32.50  -88.00   0.00267256
  -31.50  -88.00   0.00267486
  -30.50  -88.00   0.00267705
  -29.50  -88.00   0.00267911
  -28.50  -88.00   0.00268105
  -27.50  -88.00   0.00268287
  -26.50  -88.00   0.00268456
  -25.50  -88.00   0.00268613
  -24.50  -88.00   0.00268757
  -23.50  -88.00   0.00268888
  -22.50  -88.00   0.00269007
  -21.50  -88.00   0.00269114
  -20.50  -88.00   0.00269208
  -19.50  -88.00   0.00269289
  -18.50  -88.00   0.00269358
  -17.50  -88.00   0.00269414
  -16.50  -88.00   0.00269458
  -15.50  -88.00   0.00269490
  -14.50  -88.00   0.00269510
  -13.50  -88.00   0.00269518
  -12.50  -88.00   0.00269514
  -11.50  -88.00   0.00269499
  -10.50  -88.00   0.00269472
   -9.50  -88.00   0.00269433
   -8.50  -88.00   0.00269384
   -7.50  -88.00   0.00269323
   -6.50  -88.00   0.00269252
   -5.50  -88.00   0.00269171
   -4.50  -88.00   0.00269079
   -3.50  -88.00   0.00268977
   -2.50  -88.00   0.00268865
   -1.50  -88.00   0.00268744
   -0.50  -88.00   0.00268614
    0.50  -88.00   0.00268475
    1.50  -88.00   0.00268327
    2.50  -88.00   0.00268170
    3.50  -88.00   0.00268005
    4.50  -88.00   0.00267833
    5.50  -88.00   0.00267653
    6.50  -88.00   0.00267464
    7.50  -88.00   0.00267269
    8.50  -88.00   0.00267067
    9.50  -88.00   0.00266859
   10.50  -88.00   0.00266644
   11.50  -88.00   0.00266422
   12.50  -88.00   0.00266195
   13.50  -88.00   0.00265962
   14.50  -88.00   0.00265723
   15.50  -88.00   0.00265478
   16.50  -88.00   0.00265228
   17.50  -88.00   0.00264973
   18.50  -88.00   0.00264714
   19.50  -88.00   0.00264449
   20.50  -88.00   0.00264179
   21.50  -88.00   0.00263905
   22.50  -88.00   0.00263627
   23.50  -88.00   0.00263343
   24.50  -88.00   0.00263056
   25.50  -88.00   0.00262764
   26.50  -88.00   0.00262468
   27.50  -88.00   0.00262168
   28.50  -88.00   0.00261863
   29.50  -88.00   0.00261554
   30.50  -88.00   0.00261241
   31.50  -88.00   0.00260924
   32.50  -88.00   0.00260603
   33.50  -88.00   0.00260277
   34.50  -88.00   0.00259948
   35.50  -88.00   0.00259614
   36.50  -88.00   0.00259276
   37.50  -88.00   0.00258933
   38.50  -88.00   0.00258587
   39.50  -88.00   0.00258236
   40.50  -88.00   0.00257881
   41.50  -88.00   0.00257521
   42.50  -88.00   0.00257157
   43.50  -88.00   0.00256789
   44.50  -88.00   0.00256417
   45.50  -88.00   0.00256040
   46.50  -88.00   0.00255659
   47.50  -88.00   0.00255273
   48.50  -88.00   0.00254884
   49.50  -88.00   0.00254490
   50.50  -88.00   0.00254093
   51.50  -88.00   0.00253691
   52.50  -88.00   0.00253286
   53.50  -88.00   0.00252876
   54.50  -88.00   0.00252463
   55.50  -88.00   0.00252046
   56.50  -88.00   0.00251626
   57.50  -88.00   0.00251203
   58.50  -88.00   0.00250776
   59.50  -88.00   0.00250347
   60.50  -88.00   0.00249915
   61.50  -88.00   0.00249480
   62.50  -88.00   0.00249043
   63.50  -88.00   0.00248604
   64.50  -88.00   0.00248164
   65.50  -88.00   0.00247721
   66.50  -88.00   0.00247278
   67.50  -88.00   0.00246833
   68.50  -88.00   0.00246388
   69.50  -88.00   0.00245942
   70.50  -88.00   0.00245496
   71.50  -88.00   0.00245051
   72.50  -88.00   0.00244606
   73.50  -88.00   0.00244161
   74.50  -88.00   0.00243718
   75.50  -88.00   0.00243277
   76.50  -88.00   0.00242837
   77.50  -88.00   0.00242399
   78.50  -88.00   0.00241964
   79.50  -88.00   0.00241532
   80.50  -88.00   0.00241103
   81.50  -88.00   0.00240677
   82.50  -88.00   0.00240255
   83.50  -88.00   0.00239838
   84.50  -88.00   0.00239424
   85.50  -88.00   0.00239016
   86.50  -88.00   0.00238612
   87.50  -88.00   0.00238214
   88.50  -88.00   0.00237822
   89.50  -88.00   0.00237435
   90.50  -88.00   0.00237055
   91.50  -88.00   0.00236681
   92.50  -88.00   0.00236314
   93.50  -88.00   0.00235954
   94.50  -88.00   0.00235601
   95.50  -88.00   0.00235256
   96.50  -88.00   0.00234918
   97.50  -88.00   0.00234588
   98.50  -88.00   0.00234266
   99.50  -88.00   0.00233952
  100.50  -88.00   0.00233646
  101.50  -88.00   0.00233349
  102.50  -88.00   0.00233060
  103.50  -88.00   0.00232780
  104.50  -88.00   0.00232509
  105.50  -88.00   0.00232246
  106.50  -88.00   0.00231992
  107.50  -88.00   0.00231747
  108.50  -88.00   0.00231511
  109.50  -88.00   0.00231284
  110.50  -88.00   0.00231066
  111.50  -88.00   0.00230856
  112.50  -88.00   0.00230656
  113.50  -88.00   0.00230464
  114.50  -88.00   0.00230281
  115.50  -88.00   0.00230106
  116.50  -88.00   0.00229940
  117.50  -88.00   0.00229782
  118.50  -88.00   0.00229632
  119.50  -88.00   0.00229490
  120.50  -88.00   0.00229356
  121.50  -88.00   0.00229230
  122.50  -88.00   0.00229111
  123.50  -88.00   0.00228999
  124.50  -88.00   0.00228895
  125.50  -88.00   0.00228797
  126.50  -88.00   0.00228705
  127.50  -88.00   0.00228620
  128.50  -88.00   0.00228540
  129.50  -88.00   0.00228467
  130.50  -88.00   0.00228398
  131.50  -88.00   0.00228335
  132.50  -88.00   0.00228276
  133.50  -88.00   0.00228222
  134.50  -88.00   0.00228172
  135.50  -88.00   0.00228126
  136.50  -88.00   0.00228083
  137.50  -88.00   0.00228042
  138.50  -88.00   0.00228005
  139.50  -88.00   0.00227970
  140.50  -88.00   0.00227937
  141.50  -88.00   0.00227906
  142.50  -88.00   0.00227876
  143.50  -88.00   0.00227847
  144.50  -88.00   0.00227819
  145.50  -88.00   0.00227791
  146.50  -88.00   0.00227763
  147.50  -88.00   0.00227735
  148.50  -88.00   0.00227706
  149.50  -88.00   0.00227676
  150.50  -88.00   0.00227645
  151.50  -88.00   0.00227613
  152.50  -88.00   0.00227579
  153.50  -88.00   0.00227542
  154.50  -88.00   0.00227504
  155.50  -88.00   0.00227463
  156.50  -88.00   0.00227420
  157.50  -88.00   0.00227374
  158.50  -88.00   0.00227325
  159.50  -88.00   0.00227273
  160.50  -88.00   0.00227218
  161.50  -88.00   0.00227160
  162.50  -88.00   0.00227098
  163.50  -88.00   0.00227033
  164.50  -88.00   0.00226965
  165.50  -88.00   0.00226893
  166.50  -88.00   0.00226817
  167.50  -88.00   0.00226739
  168.50  -88.00   0.00226657
  169.50  -88.00   0.00226572
  170.50  -88.00   0.00226484
  171.50  -88.00   0.00226393
  172.50  -88.00   0.00226299
  173.50  -88.00   0.00226202
  174.50  -88.00   0.00226103
  175.50  -88.00   0.00226002
  176.50  -88.00   0.00225898
  177.50  -88.00   0.00225793
  178.50  -88.00   0.00225686
  179.50  -88.00   0.00225579
  180.50  -88.00   0.00225470
 -178.50  -87.00   0.00221520
 -177.50  -87.00   0.00221352
 -176.50  -87.00   0.00221174
 -175.50  -87.00   0.00220989
 -174.50  -87.00   0.00220798
 -173.50  -87.00   0.00220601
 -172.50  -87.00   0.00220400
 -171.50  -87.00   0.00220195
 -170.50  -87.00   0.00219988
 -169.50  -87.00   0.00219781
 -168.50  -87.00   0.00219573
 -167.50  -87.00   0.00219367
 -166.50  -87.00   0.00219164
 -165.50  -87.00   0.00218964
 -164.50  -87.00   0.00218769
 -163.50  -87.00   0.00218580
 -162.50  -87.00   0.00218398
 -161.50  -87.00   0.00218223
 -160.50  -87.00   0.00218058
 -159.50  -87.00   0.00217902
 -158.50  -87.00   0.00217757
 -157.50  -87.00   0.00217624
 -156.50  -87.00   0.00217503
 -155.50  -87.00   0.00217395
 -154.50  -87.00   0.00217300
 -153.50  -87.00   0.00217221
 -152.50  -87.00   0.00217156
 -151.50  -87.00   0.00217107
 -150.50  -87.00   0.00217074
 -149.50  -87.00   0.00217057
 -148.50  -87.00   0.00217057
 -147.50  -87.00   0.00217075
 -146.50  -87.00   0.00217110
 -145.50  -87.00   0.00217163
 -144.50  -87.00   0.00217234
 -143.50  -87.00   0.00217323
 -142.50  -87.00   0.00217431
 -141.50  -87.00   0.00217557
 -140.50  -87.00   0.00217702
 -139.50  -87.00   0.00217865
 -138.50  -87.00   0.00218047
 -137.50  -87.00   0.00218247
 -136.50  -87.00   0.00218466
 -135.50  -87.00   0.00218703
 -134.50  -87.00   0.00218959
 -133.50  -87.00   0.00219233
 -132.50  -87.00   0.00219525
 -131.50  -87.00   0.00219835
 -130.50  -87.00   0.00220162
 -129.50  -87.00   0.00220507
 -128.50  -87.00   0.00220870
 -127.50  -87.00   0.00221250
 -126.50  -87.00   0.00221646
 -125.50  -87.00   0.00222060
 -124.50  -87.00   0.00222490
 -123.50  -87.00   0.00222936
 -122.50  -87.00   0.00223398
 -121.50  -87.00   0.00223875
 -120.50  -87.00   0.00224368
 -119.50  -87.00   0.00224877
 -118.50  -87.00   0.00225400
 -117.50  -87.00   0.00225937
 -116.50  -87.00   0.00226489
 -115.50  -87.00   0.00227055
 -114.50  -87.00   0.00227635
 -113.50  -87.00   0.00228228
 -112.50  -87.00   0.00228834
 -111.50  -87.00   0.00229453
 -110.50  -87.00   0.00230084
 -109.50  -87.00   0.00230727
 -108.50  -87.00   0.00231383
 -107.50  -87.00   0.00232049
 -106.50  -87.00   0.00232727
 -105.50  -87.00   0.00233416
 -104.50  -87.00   0.00234115
 -103.50  -87.00   0.00234824
 -102.50  -87.00   0.00235544
 -101.50  -87.00   0.00236272
 -100.50  -87.00   0.00237010
  -99.50  -87.00   0.00237757
  -98.50  -87.00   0.00238512
  -97.50  -87.00   0.00239275
  -96.50  -87.00   0.00240046
  -95.50  -87.00   0.00240824
  -94.50  -87.00   0.00241609
  -93.50  -87.00   0.00242401
  -92.50  -87.00   0.00243199
  -91.50  -87.00   0.00244003
  -90.50  -87.00   0.00244813
  -89.50  -87.00   0.00245627
  -88.50  -87.00   0.00246447
  -87.50  -87.00   0.00247270
  -86.50  -87.00   0.00248098
  -85.50  -87.00   0.00248929
  -84.50  -87.00   0.00249763
  -83.50  -87.00   0.00250600
  -82.50  -87.00   0.00251440
  -81.50  -87.00   0.00252281
  -80.50  -87.00   0.00253124
  -79.50  -87.00   0.00253968
  -78.50  -87.00   0.00254812
  -77.50  -87.00   0.00255657
  -76.50  -87.00   0.00256502
  -75.50  -87.00   0.00257345
  -74.50  -87.00   0.00258188
